f1	f2
93.734	93.844
93.736	93.844
93.742	93.844
93.744	93.844
93.744	93.844
93.744	93.848
93.742	93.848
93.740	93.848
93.738	93.848
93.738	93.848
93.736	93.848
93.732	93.848
93.736	93.848
93.750	93.848
93.748	93.848
93.748	93.848
93.746	93.848
93.766	93.848
93.756	93.848
93.760	93.848
93.760	93.848
93.760	93.848
93.758	93.848
93.754	93.848
93.754	93.848
93.758	93.848
93.750	93.848
93.758	93.848
93.762	93.848
93.760	93.870
93.768	93.870
93.766	93.870
93.760	93.870
93.764	93.870
93.762	93.870
93.762	93.870
93.760	93.870
93.760	93.870
93.762	93.870
93.762	93.870
93.762	93.870
93.760	93.870
93.760	93.870
93.760	93.870
93.764	93.870
93.766	93.870
93.760	93.866
93.762	93.876
93.760	93.876
93.760	93.870
93.760	93.870
93.762	93.870
93.764	93.878
93.766	93.878
93.776	93.878
93.780	93.878
93.776	93.878
93.782	93.878
93.794	93.902
93.792	93.902
93.792	93.904
93.790	93.904
93.768	93.900
93.770	93.900
93.766	93.900
93.760	93.880
93.758	93.878
93.760	93.878
93.756	93.878
93.758	93.876
93.760	93.876
93.758	93.876
93.762	93.876
93.766	93.876
93.762	93.876
93.760	93.876
93.752	93.876
93.750	93.874
93.760	93.874
93.758	93.874
93.758	93.874
93.762	93.876
93.760	93.880
93.770	93.880
93.768	93.880
93.762	93.890
93.766	93.890
93.764	93.890
93.770	93.890
93.766	93.890
93.766	93.890
93.770	93.890
93.770	93.890
93.772	93.890
93.766	93.890
93.772	93.892
93.770	93.892
93.774	93.892
93.770	93.892
93.768	93.892
93.768	93.892
93.764	93.892
93.768	93.900
93.934	94.042
93.892	93.982
93.876	93.980
93.874	93.980
93.870	93.980
93.866	93.980
93.832	93.980
93.846	93.980
93.840	93.980
93.838	93.980
93.832	93.980
93.834	93.980
93.846	93.980
93.866	93.972
93.874	93.972
93.858	93.972
93.856	93.962
93.860	93.970
93.854	93.970
93.852	93.970
93.856	93.972
93.858	93.972
93.858	93.972
93.856	93.972
93.850	93.972
93.850	93.960
93.840	93.960
93.832	93.960
93.832	93.960
93.852	93.960
93.858	93.960
93.854	93.960
93.854	93.960
93.858	93.960
93.846	93.960
93.848	93.960
93.848	93.960
93.850	93.960
93.854	93.960
93.850	93.960
93.852	93.956
93.848	93.956
93.848	93.956
93.848	93.956
